"Filename","FileSize","Mean_BubbleSort","Mean_MergeSort","Mean_QuickSort","Mean_SelectionSort","Mean_InsertionSort"
"data3.txt",3,0.00145000000000002,0.00149999999999998,0.00150000000000001,0.0015,0.00139999999999999
"data5.txt",5,0.00170000000000015,0.00144999999999995,0.00155000000000007,0.00140000000000005,0.0016999999999999
"data7.txt",7,0.00145000000000008,0.00149999999999997,0.00145000000000013,0.00144999999999995,0.00159999999999991
"data12.txt",12,0.00124999999999993,0.0016999999999999,0.00144999999999977,0.00149999999999983,0.00144999999999991
"data20.txt",20,0.0016,0.00129999999999999,0.00155000000000012,0.00154999999999985,0.00150000000000006
"data30.txt",30,0.00144999999999982,0.00164999999999997,0.00145000000000026,0.00154999999999994,0.00129999999999999
"data50.txt",50,0.00149999999999997,0.0014000000000002,0.00165000000000033,0.00174999999999992,0.00134999999999987
"data90.txt",90,0.00155000000000003,0.00164999999999997,0.00144999999999982,0.00159999999999991,0.00159999999999965
"data400.txt",400,0.00200000000000013,0.00144999999999964,0.00135000000000041,0.00179999999999954,0.00179999999999971
"data660.txt",660,0.0027000000000001,0.00180000000000042,0.0017000000000003,0.00220000000000038,0.00200000000000031
"data1000.txt",1000,0.00389999999999961,0.00190000000000055,0.00175000000000001,0.0032,0.00259999999999998
