"FileSize","Mean_MergeSort","Lower_MergeSort","Upper_MergeSort","Mean_QuickSort","Lower_QuickSort","Upper_QuickSort","Mean_SelectionSort","Lower_SelectionSort","Upper_SelectionSort","Mean_InsertionSort","Lower_InsertionSort","Upper_InsertionSort"
1097,152.8,139.79508844926,165.80491155074,98.2,90.0863171749575,106.313682825043,1295.6,1249.36906247681,1341.83093752319,695.8,655.753689187271,735.846310812728
2981,413.2,368.255879466751,458.144120533249,279.4,266.330048704167,292.469951295833,9131.6,8991.1887173299,9272.0112826701,5078.2,4941.87286984601,5214.52713015399
8103,1239.8,1197.49769022164,1282.10230977836,885.2,817.399005879405,953.000994120595,66568.8,64557.4067627982,68580.1932372018,38808,35824.2310331163,41791.7689668837
22026,3662.8,3526.01280261295,3799.58719738705,2732,2665.40003208169,2798.59996791831,469914.6,466047.99465191,473781.20534809,270857.8,260032.301877248,281683.298122752
59874,10424,10250.9381387209,10597.0618612791,8294.4,7871.68443192332,8717.11556807668,3462875.6,3448199.21921432,3477551.98078568,1986907.4,1901765.84257693,2072048.95742307
162755,29439.2,29169.0083790564,29709.3916209436,26433.2,25832.3337865908,27034.0662134092,25629682.6,25478113.4026551,25781251.7973449,14544807.6,14460013.8805005,14629601.3194995
